Call Number,Unit ID,Incident Number,Call Type,Call Date,Watch Date,Received DtTm,Entry DtTm,Dispatch DtTm,Response DtTm,On Scene DtTm,Transport DtTm,Hospital DtTm,Call Final Disposition,Available DtTm,Address,City,Zipcode of Incident,Battalion,Station Area,Box,Original Priority,Priority,Final Priority,ALS Unit,Call Type Group,Number of Alarms,Unit Type,Unit sequence in call dispatch,Fire Prevention District,Supervisor District,Neighborhooods - Analysis Boundaries,Location,RowID
190824304,KM11,19035264,Medical Incident,03/23/2019,03/23/2019,03/23/2019 11:58:14 PM,03/24/2019 12:00:09 AM,03/24/2019 12:00:36 AM,03/24/2019 12:01:01 AM,03/24/2019 12:11:43 AM,03/24/2019 12:25:28 AM,03/24/2019 12:41:27 AM,Code 2 Transport,03/24/2019 01:07:29 AM,1200 Block of EDDY ST,San Francisco,94115,B02,05,3366,2,2,2,false,Non Life-threatening,1,PRIVATE,1,2,5,Western Addition,"(37.78200642291339, -122.42822947127583)",190824304-KM11
190824295,KM03,19035263,Medical Incident,03/23/2019,03/23/2019,03/23/2019 11:56:34 PM,03/23/2019 11:56:34 PM,03/23/2019 11:56:59 PM,03/23/2019 11:57:47 PM,03/24/2019 12:06:44 AM,03/24/2019 12:21:05 AM,03/24/2019 12:43:48 AM,Code 2 Transport,03/24/2019 01:25:25 AM,200 Block of THE EMBARCADERO,San Francisco,94111,B01,13,0903,A,2,2,false,Potentially Life-Threatening,1,PRIVATE,2,1,3,Financial District/South Beach,"(37.7980449492818, -122.3963670843851)",190824295-KM03
190824295,E28,19035263,Medical Incident,03/23/2019,03/23/2019,03/23/2019 11:56:34 PM,03/23/2019 11:56:34 PM,03/23/2019 11:56:59 PM,03/23/2019 11:57:46 PM,03/24/2019 12:04:56 AM,,,Code 2 Transport,03/24/2019 12:13:45 AM,200 Block of THE EMBARCADERO,San Francisco,94111,B01,13,0903,A,2,2,false,Potentially Life-Threatening,1,ENGINE,1,1,3,Financial District/South Beach,"(37.7980449492818, -122.3963670843851)",190824295-E28
190824278,59,19035262,Medical Incident,03/23/2019,03/23/2019,03/23/2019 11:48:04 PM,03/23/2019 11:50:41 PM,03/23/2019 11:50:59 PM,03/23/2019 11:51:18 PM,03/24/2019 12:16:45 AM,,,Patient Declined Transport,03/24/2019 02:53:32 AM,5800 Block of MISSION ST,San Francisco,94112,B09,33,6213,2,2,2,true,Non Life-threatening,1,MEDIC,1,9,11,Excelsior,"(37.709059057853175, -122.45174696338128)",190824278-59
190824270,E29,19035261,Medical Incident,03/23/2019,03/23/2019,03/23/2019 11:48:21 PM,03/23/2019 11:49:36 PM,03/23/2019 11:50:31 PM,03/23/2019 11:51:45 PM,03/23/2019 11:54:40 PM,,,Code 2 Transport,03/24/2019 12:28:00 AM,300 Block of 11TH ST,San Francisco,94103,B02,29,5112,2,2,2,true,Non Life-threatening,1,ENGINE,1,2,6,South of Market,"(37.77128552595309, -122.41320426710206)",190824270-E29
190824270,AM122,19035261,Medical Incident,03/23/2019,03/23/2019,03/23/2019 11:48:21 PM,03/23/2019 11:49:36 PM,03/23/2019 11:50:31 PM,03/23/2019 11:51:17 PM,03/23/2019 11:57:47 PM,03/24/2019 12:26:26 AM,03/24/2019 12:37:07 AM,Code 2 Transport,03/24/2019 01:09:33 AM,300 Block of 11TH ST,San Francisco,94103,B02,29,5112,2,2,2,false,Non Life-threatening,1,PRIVATE,2,2,6,South of Market,"(37.77128552595309, -122.41320426710206)",190824270-AM122
190824258,T13,19035260,Structure Fire,03/23/2019,03/23/2019,03/23/2019 11:43:14 PM,03/23/2019 11:44:48 PM,03/23/2019 11:45:04 PM,03/23/2019 11:46:32 PM,03/23/2019 11:49:53 PM,,,Fire,03/24/2019 12:02:26 AM,600 Block of STOCKTON ST,San Francisco,94108,B01,02,1325,3,3,3,true,Alarm,1,TRUCK,6,1,3,Nob Hill,"(37.791765799799315, -122.40748925022733)",190824258-T13
190824258,T02,19035260,Structure Fire,03/23/2019,03/23/2019,03/23/2019 11:43:14 PM,03/23/2019 11:44:48 PM,03/23/2019 11:45:04 PM,03/23/2019 11:45:58 PM,03/23/2019 11:49:01 PM,,,Fire,03/24/2019 12:02:05 AM,600 Block of STOCKTON ST,San Francisco,94108,B01,02,1325,3,3,3,false,Alarm,1,TRUCK,4,1,3,Nob Hill,"(37.791765799799315, -122.40748925022733)",190824258-T02
190824258,RS1,19035260,Structure Fire,03/23/2019,03/23/2019,03/23/2019 11:43:14 PM,03/23/2019 11:44:48 PM,03/23/2019 11:45:04 PM,03/23/2019 11:46:53 PM,03/23/2019 11:50:43 PM,,,Fire,03/24/2019 01:02:21 AM,600 Block of STOCKTON ST,San Francisco,94108,B01,02,1325,3,3,3,false,Alarm,1,RESCUE SQUAD,8,1,3,Nob Hill,"(37.791765799799315, -122.40748925022733)",190824258-RS1
190824258,E41,19035260,Structure Fire,03/23/2019,03/23/2019,03/23/2019 11:43:14 PM,03/23/2019 11:44:48 PM,03/23/2019 11:45:04 PM,03/23/2019 11:45:57 PM,03/23/2019 11:47:11 PM,,,Fire,03/24/2019 12:08:28 AM,600 Block of STOCKTON ST,San Francisco,94108,B01,02,1325,3,3,3,true,Alarm,1,ENGINE,1,1,3,Nob Hill,"(37.791765799799315, -122.40748925022733)",190824258-E41
